,x,y,z,node,line_id,point_id,degree,cc,vol_cc,avg_PK_Of_element,element_connectivity,folder_name
166,7.488,22.048,3.0,120,207,4,3,43,1.09782,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
167,7.488,22.048,3.0,120,208,4,3,43,1.09782,2.0,0.5,TCDD1nM4hr1_Subset
168,4.992,21.84,3.0,121,170,3,1,57,0.8112,2.0,0.5,TCDD1nM4hr1_Subset
169,5.512,19.968,3.0,122,168,3,1,38,4.74822,2.0,0.5,TCDD1nM4hr1_Subset
170,1.664,19.76,3.0,123,105,18,1,46,0.9464,1.0,1.0,TCDD1nM4hr1_Subset
171,2.496,18.72,3.0,124,204,2,1,30,3.75856,2.0,0.5,TCDD1nM4hr1_Subset
172,2.4613,18.4427,2.8333,125,21,15,3,30,3.75856,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
173,2.4613,18.4427,2.8333,125,203,15,3,30,3.75856,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
174,2.4613,18.4427,2.8333,125,204,15,3,30,3.75856,2.0,0.5,TCDD1nM4hr1_Subset
175,9.672,18.408,3.0,126,202,5,1,47,0.12438,1.0,1.0,TCDD1nM4hr1_Subset
176,9.568,17.888,3.0,127,202,0,1,47,0.12438,1.0,1.0,TCDD1nM4hr1_Subset
177,4.576,12.688,3.0,128,15,6,3,48,1.29251,2.0,0.5,TCDD1nM4hr1_Subset
178,4.576,12.688,3.0,128,92,6,3,48,1.29251,2.0,0.5,TCDD1nM4hr1_Subset
179,4.576,12.688,3.0,128,200,6,3,48,1.29251,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
180,3.64,12.584,3.0,129,201,0,1,30,3.75856,2.0,0.5,TCDD1nM4hr1_Subset
181,4.68,12.48,3.0,130,87,7,3,48,1.29251,2.0,0.5,TCDD1nM4hr1_Subset
182,4.68,12.48,3.0,130,164,7,3,48,1.29251,2.0,0.5,TCDD1nM4hr1_Subset
183,4.68,12.48,3.0,130,200,7,3,48,1.29251,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
184,5.8933,11.9253,3.0,131,84,12,3,18,1.72515,2.0,0.5,TCDD1nM4hr1_Subset
185,5.8933,11.9253,3.0,131,90,12,3,18,1.72515,2.0,0.5,TCDD1nM4hr1_Subset
186,5.8933,11.9253,3.0,131,199,12,3,18,1.72515,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
187,6.5,10.4,2.75,132,157,22,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
188,6.5,10.4,2.75,132,197,22,3,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
189,6.5,10.4,2.75,132,198,22,3,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
190,4.576,10.088,3.0,133,196,3,1,50,0.15683,1.0,1.0,TCDD1nM4hr1_Subset
191,4.264,10.088,3.0,134,196,0,1,50,0.15683,1.0,1.0,TCDD1nM4hr1_Subset
192,8.632,9.672,3.0,135,195,2,1,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
193,8.5973,9.3947,3.0,136,160,7,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
194,8.5973,9.3947,3.0,136,194,7,3,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
195,8.5973,9.3947,3.0,136,195,7,3,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
196,5.928,9.1867,2.6667,137,82,6,3,40,2.39034,2.0,0.5,TCDD1nM4hr1_Subset
